timestamp,data,secs,nsecs
1584479731172419867,,12,146319151
1584479732197456284,,13,155865193
1584479733171816409,,14,141983986
1584479734189909410,,15,153189183
1584479735190747785,,16,134411097
1584479736184036076,,17,134094000
1584479737199665785,,18,170401097
1584479738191277785,,19,149923087
1584479739168310077,,20,143146039
1584479740159502244,,21,133706093
1584479741184034535,,22,136557103
1584479742200133202,,23,152325154
1584479743176078119,,24,143426180
1584479744160321911,,25,134073973
1584479745207823369,,26,145234108
1584479746219635536,,27,152943135
1584479747205890786,,28,158545971
1584479748191540286,,29,134004117
1584479749202129245,,30,151588202
1584479750168873661,,31,135143042
1584479751210373203,,32,135941029
1584479752194766328,,33,149109126
1584479753176457120,,34,137418986
1584479754188296495,,35,148619175
1584479755190528287,,36,143750191
1584479756191718787,,37,159357071
1584479757192227454,,38,136028052
1584479758192334662,,39,156634093
1584479759190634829,,40,139714003
1584479760198230413,,41,153722048
1584479761176366454,,42,139384985
1584479762171866955,,43,135438204
1584479763208577413,,44,165567160
1584479764173914413,,45,144752980
1584479765177786163,,46,148338080
1584479766193987955,,47,152979136
1584479767176781580,,48,151389122
1584479768176725789,,49,134585143
1584479769182471122,,50,151231051
1584479770176975705,,51,143429995
1584479771175367539,,52,137685061
1584479772169930081,,53,137407065
1584479773175862289,,54,143656970
1584479774168806706,,55,134616137
1584479775181678539,,56,156260014
1584479776183868206,,57,149394036
1584479777160020373,,58,133625031
1584479778181340706,,59,146418095
1584479779196209498,,60,149382115
1584479780165768748,,61,140331984
1584479781189991165,,62,149744034
1584479782182520707,,63,147957087
1584479783180009332,,64,138154030
1584479784189513457,,65,147965193
1584479785168206624,,66,135833025
1584479786180197916,,67,148393155
1584479787181177708,,68,155303002
1584479788180281958,,69,147123099
1584479789185012458,,70,149859190
1584479790178067291,,71,143378973
1584479791177184958,,72,145120144
1584479792179047708,,73,145665169
1584479793181257417,,74,146057129
1584479794181616792,,75,146492005
1584479795171946708,,76,137861014
1584479796181097459,,77,146356106
1584479797191133500,,78,151926041
1584479798191127917,,79,154132128
1584479799227764876,,80,183588028
1584479800181000126,,81,143920184
1584479801172622209,,82,137799025
1584479802179989168,,83,135791064
1584479803170837418,,84,135629178
1584479804180006043,,85,146191121
1584479805182964126,,86,152698040
1584479806175484085,,87,136015177
1584479807176302418,,88,138322115
1584479808180232543,,89,150076151
1584479809177420710,,90,147098065
1584479810172330210,,91,147049189
1584479811159268002,,92,133226157
1584479812183690335,,93,146958113
1584479813184130711,,94,151830197
1584479814175687002,,95,136958123
1584479815186684086,,96,146100045
1584479816180522919,,97,139543057
1584479817184526378,,98,148895979
1584479818181577795,,99,149378062
1584479819177177211,,100,139612198
1584479820174674961,,101,135956049
1584479821199020712,,102,135586977
1584479822207423587,,103,165002108
1584479823177825587,,104,136842967
1584479824167975962,,105,136181117
1584479825175161129,,106,135989190
1584479826164350254,,107,135320187
1584479827182438254,,108,151256085
1584479828162998296,,109,137241126
1584479829179094296,,110,135473013
1584479830161348254,,111,136162043
1584479831170676796,,112,136592150
1584479832175614921,,113,143534184
1584479833183621421,,114,152909041
1584479834169127713,,115,134124995
1584479835168146755,,116,133946181
1584479836180155963,,117,150325060
1584479837195200005,,118,148796082
1584479838171529880,,119,136128188
1584479839208027214,,120,159312010
1584479840183820839,,121,154102087
1584479841179787839,,122,147400141
1584479842180258297,,123,143488169
1584479843178769089,,124,143398047
1584479844176363839,,125,144118071
1584479845188287089,,126,154543162
1584479846160788965,,127,135496140
1584479847172558631,,128,133915186
1584479848187791131,,129,144351006
1584479849174215215,,130,136918068
1584479850177494840,,131,148139000
1584479851176143923,,132,135786057
1584479852196250049,,133,158878088
1584479853178418799,,134,144638062
1584479854188673549,,135,154934168
1584479855172291882,,136,136307002
1584479856179879174,,137,143551112
1584479857164424508,,138,139227152
1584479858163654924,,139,137667180
1584479859171253341,,140,143768073
1584479860170460800,,141,138231040
1584479861176255466,,142,144548178
1584479862162133258,,143,136322022
1584479863189965133,,144,150552989
1584479864184524300,,145,152119160
1584479865184025133,,146,153593064
1584479866182418300,,147,151396990
1584479867177319550,,148,133853198
1584479868173195175,,149,136533022
1584479869168886384,,150,141336203
1584479870190746967,,151,146140099
1584479871190077343,,152,164661170
1584479872188635884,,153,146366120
1584479873199643759,,154,157950163
1584479874177678593,,155,145102978
1584479875178155760,,156,152579070
1584479876199910843,,157,149990082
1584479877179425927,,158,145004035
1584479878171900718,,159,136656046
1584479879171836135,,160,134147168
1584479880177658260,,161,140490056
1584479881171700052,,162,138090134
1584479882187742552,,163,135573149
1584479883178547219,,164,144473076
1584479884182213636,,165,147639037
1584479885182023261,,166,148634196
1584479886187896553,,167,156891108
1584479887183790094,,168,150818110
1584479888179142303,,169,149369002
1584479889184002011,,170,148293019
1584479890182943636,,171,149439097
1584479891166796553,,172,136744977
1584479892180171220,,173,148118020
1584479893173252637,,174,148068190
