timestamp,header,seq,stamp,secs,nsecs,frame_id,unit,voltage,reading
1587851143227088937,,19,,1587851143,217437028,'',"""psig""",1.71296703815,964.604370117
1587851143473102478,,20,,1587851143,467493057,'',"""psig""",1.70989012718,962.681335449
1587851143725178603,,21,,1587851143,717892885,'',"""psig""",1.70989012718,962.681335449
1587851143974105020,,22,,1587851143,968327045,'',"""psig""",1.7059340477,960.20880127
1587851144223273062,,23,,1587851144,217360973,'',"""psig""",1.70857143402,961.857116699
1587851144477317270,,24,,1587851144,467704057,'',"""psig""",1.70989012718,962.681335449
1587851144726329354,,25,,1587851144,717185020,'',"""psig""",1.70813190937,961.582397461
1587851144973727937,,26,,1587851144,967183113,'',"""psig""",1.70725274086,961.032958984
1587851145223315395,,27,,1587851145,217108011,'',"""psig""",1.70857143402,961.857116699
1587851145476997020,,28,,1587851145,466819047,'',"""psig""",1.70813190937,961.582397461
1587851145726701770,,29,,1587851145,716988086,'',"""psig""",1.70769226551,961.307678223
1587851145978945812,,30,,1587851145,967041015,'',"""psig""",1.70813190937,961.582397461
1587851146226961645,,31,,1587851146,216976881,'',"""psig""",1.7059340477,960.20880127
1587851146480728479,,32,,1587851146,467402935,'',"""psig""",1.70901095867,962.131896973
1587851146726700812,,33,,1587851146,717466115,'',"""psig""",1.70329666138,958.560424805
1587851146974404396,,34,,1587851146,968416929,'',"""psig""",1.69846153259,955.538452148
1587851147224989312,,35,,1587851147,218429088,'',"""psig""",1.69626379013,954.164855957
1587851147476846271,,36,,1587851147,467152118,'',"""psig""",1.70197796822,957.73626709
1587851147726238937,,37,,1587851147,718200922,'',"""psig""",1.70373630524,958.835144043
1587851147978650062,,38,,1587851147,968233108,'',"""psig""",1.70549452305,959.934082031
1587851148224558687,,39,,1587851148,217096090,'',"""psig""",1.70153844357,957.461547852
1587851148474195521,,40,,1587851148,466855049,'',"""psig""",1.7002197504,956.637390137
1587851148725788229,,41,,1587851148,717608928,'',"""psig""",1.70153844357,957.461547852
1587851148972935187,,42,,1587851148,966926097,'',"""psig""",1.7002197504,956.637390137
1587851149224601937,,43,,1587851149,217046022,'',"""psig""",1.69890105724,955.813171387
1587851149475620354,,44,,1587851149,468338012,'',"""psig""",1.6927472353,951.967041016
1587851149727507396,,45,,1587851149,716965913,'',"""psig""",1.6993407011,956.087890625
1587851149972888229,,46,,1587851149,967138051,'',"""psig""",1.6993407011,956.087890625
1587851150225656313,,47,,1587851150,218135118,'',"""psig""",1.69406592846,952.79119873
1587851150475160396,,48,,1587851150,466824054,'',"""psig""",1.69890105724,955.813171387
1587851150726164729,,49,,1587851150,717228889,'',"""psig""",1.69582414627,953.890136719
1587851150974798479,,50,,1587851150,967008113,'',"""psig""",1.6993407011,956.087890625
1587851151227979979,,51,,1587851151,219685077,'',"""psig""",1.68087911606,944.549438477
1587851151477560896,,52,,1587851151,466995000,'',"""psig""",1.69406592846,952.79119873
1587851151727423354,,53,,1587851151,717262983,'',"""psig""",1.69450545311,953.065917969
1587851151973242604,,54,,1587851151,967153072,'',"""psig""",1.69670331478,954.439575195
1587851152224636105,,55,,1587851152,216916084,'',"""psig""",1.69582414627,953.890136719
1587851152476767563,,56,,1587851152,468796014,'',"""psig""",1.68747258186,948.670349121
1587851152727362605,,57,,1587851152,717017889,'',"""psig""",1.69362640381,952.516479492
1587851152973557855,,58,,1587851152,967093944,'',"""psig""",1.69494509697,953.340637207
1587851153225958021,,59,,1587851153,217024087,'',"""psig""",1.69318675995,952.241760254
1587851153477427063,,60,,1587851153,466972112,'',"""psig""",1.6927472353,951.967041016
1587851153727748646,,61,,1587851153,717823028,'',"""psig""",1.69098901749,950.868164062
1587851153981442563,,62,,1587851153,970449924,'',"""psig""",1.66241765022,933.010986328
1587851154234713271,,63,,1587851154,224968910,'',"""psig""",1.7002197504,956.637390137
1587851154480368688,,64,,1587851154,468086957,'',"""psig""",1.69010984898,950.318664551
1587851154727473396,,65,,1587851154,716934919,'',"""psig""",1.69450545311,953.065917969
1587851154972631771,,66,,1587851154,966768980,'',"""psig""",1.69538462162,953.61541748
1587851155222703063,,67,,1587851155,217097997,'',"""psig""",1.691868186,951.417602539
1587851155474672772,,68,,1587851155,467075109,'',"""psig""",1.68967032433,950.043945312
1587851155729747397,,69,,1587851155,718775987,'',"""psig""",1.67780220509,942.626403809
1587851155982540897,,70,,1587851155,971246957,'',"""psig""",1.6654945612,934.934082031
1587851156231484480,,71,,1587851156,221097946,'',"""psig""",1.66285717487,933.285705566
1587851156475945522,,72,,1587851156,466761112,'',"""psig""",1.69362640381,952.516479492
1587851156724812605,,73,,1587851156,718827009,'',"""psig""",1.6738461256,940.153869629
1587851156972920605,,74,,1587851156,966692924,'',"""psig""",1.69054949284,950.593383789
1587851157222632438,,75,,1587851157,217063903,'',"""psig""",1.68967032433,950.043945312
1587851157477671688,,76,,1587851157,467149972,'',"""psig""",1.69054949284,950.593383789
1587851157725765063,,77,,1587851157,717961072,'',"""psig""",1.68219780922,945.373657227
1587851157974155855,,78,,1587851157,966751098,'',"""psig""",1.69098901749,950.868164062
1587851158225078147,,79,,1587851158,217413902,'',"""psig""",1.68967032433,950.043945312
1587851158483078564,,80,,1587851158,472803115,'',"""psig""",1.68263733387,945.648376465
1587851158724154105,,81,,1587851158,718338966,'',"""psig""",1.67252743244,939.329650879
1587851158974024272,,82,,1587851158,966934919,'',"""psig""",1.68791210651,948.945068359
1587851159225118522,,83,,1587851159,217267036,'',"""psig""",1.68571424484,947.571411133
