timestamp,x,y,z,w
1563911116628946344,0.0,0.0,0.0,0.0
1563911116678896520,0.0,0.0,0.0,0.0
1563911116728945830,0.0,0.0,0.0,0.0
1563911116778921773,0.0,0.0,0.0,0.0
1563911116828938170,0.0,0.0,0.0,0.0
1563911116878906313,0.0,0.0,0.0,0.0
1563911116928901969,0.0,0.0,0.0,0.0
1563911116978922581,0.0,0.0,0.0,0.0
1563911117028952703,0.0,0.0,0.0,0.0
1563911117078922805,0.0,0.0,0.0,0.0
1563911117128930538,0.0,0.0,0.0,0.0
1563911117178964045,0.0,0.0,0.0,0.0
1563911117228952803,0.0,0.0,0.0,0.0
1563911117278950907,0.0,0.0,0.0,0.0
1563911117328994307,0.0,0.0,0.0,0.0
1563911117378893633,0.0,0.0,0.0,0.0
1563911117428949403,0.0,0.0,0.0,0.0
1563911117478973992,0.0,0.0,0.0,0.0
1563911117528995478,0.0,0.0,0.0,0.0
1563911117578945361,0.0,0.0,0.0,0.0
1563911117628962865,0.0,0.0,0.0,0.0
1563911117678910987,0.0,0.0,0.0,0.0
1563911117728977552,0.0,0.0,0.0,0.0
1563911117778931539,0.0,0.0,0.0,0.0
1563911117828940107,0.0,0.0,0.0,0.0
1563911117878933641,0.0,0.0,0.0,0.0
1563911117928937801,0.0,0.0,0.0,0.0
1563911117978951280,0.0,0.0,0.0,0.0
1563911118028931226,0.0,0.0,0.0,0.0
1563911118078961448,0.0,0.0,0.0,0.0
1563911118128975200,0.0,0.0,0.0,0.0
1563911118178965121,0.0,0.0,0.0,0.0
1563911118228940604,0.0,0.0,0.0,0.0
1563911118278969512,0.0,0.0,0.0,0.0
1563911118329002190,0.0,0.0,0.0,0.0
1563911118378958380,0.0,0.0,0.0,0.0
1563911118428929612,0.0,0.0,0.0,0.0
1563911118478947953,0.0,0.0,0.0,0.0
1563911118528977804,0.0,0.0,0.0,0.0
1563911118578937535,0.0,0.0,0.0,0.0
1563911118628926003,0.0,0.0,0.0,0.0
1563911118678934899,0.0,0.0,0.0,0.0
1563911118728960824,0.0,0.0,0.0,0.0
1563911118778971648,0.0,0.0,0.0,0.0
1563911118828950445,0.0,0.0,0.0,0.0
1563911118878958803,0.0,0.0,0.0,0.0
1563911118928917680,0.0,0.0,0.0,0.0
1563911118978941138,0.0,0.0,0.0,0.0
1563911119028911383,0.0,0.0,0.0,0.0
1563911119078922531,0.0,0.0,0.0,0.0
1563911119128964335,0.0,0.0,0.0,0.0
1563911119178952717,0.0,0.0,0.0,0.0
1563911119228983430,0.0,0.0,0.0,0.0
1563911119278963820,0.0,0.0,0.0,0.0
1563911119329024956,0.0,0.0,0.0,0.0
1563911119378903360,0.0,0.0,0.0,0.0
1563911119428952660,0.0,0.0,0.0,0.0
1563911119478943425,0.0,0.0,0.0,0.0
1563911119528906596,0.0,0.0,0.0,0.0
1563911119578941524,0.0,0.0,0.0,0.0
1563911119628948089,0.0,0.0,0.0,0.0
1563911119678955108,0.0,0.0,0.0,0.0
1563911119728975841,0.0,0.0,0.0,0.0
1563911119778987283,0.0,0.0,0.0,0.0
1563911119828970449,0.0,0.0,0.0,0.0
1563911119878962616,0.0,0.0,0.0,0.0
1563911119928946387,0.0,0.0,0.0,0.0
1563911119978961584,0.0,0.0,0.0,0.0
1563911120028947014,0.0,0.0,0.0,0.0
1563911120078935926,0.0,0.0,0.0,0.0
1563911120128953410,0.0,0.0,0.0,0.0
1563911120178966278,0.0,0.0,0.0,0.0
1563911120228925439,0.0,0.0,0.0,0.0
1563911120278931185,0.0,0.0,0.0,0.0
1563911120329046390,0.0,0.0,0.0,0.0
1563911120378921433,0.0,0.0,0.0,0.0
1563911120428936316,0.0,0.0,0.0,0.0
1563911120478941885,0.0,0.0,0.0,0.0
1563911120528885444,0.0,0.0,0.0,0.0
1563911120578957074,0.0,0.0,0.0,0.0
1563911120628945498,0.0,0.0,0.0,0.0
1563911120678931856,0.0,0.0,0.0,0.0
1563911120728972057,0.0,0.0,0.0,0.0
1563911120778952865,0.0,0.0,0.0,0.0
1563911120828935399,0.0,0.0,0.0,0.0
1563911120878932529,0.0,0.0,0.0,0.0
1563911120928947748,0.0,0.0,0.0,0.0
1563911120978957165,0.0,0.0,0.0,0.0
1563911121028965067,0.0,0.0,0.0,0.0
1563911121078925562,0.0,0.0,0.0,0.0
1563911121128934123,0.0,0.0,0.0,0.0
1563911121178853937,0.0,0.0,0.0,0.0
1563911121228925110,0.0,0.0,0.0,0.0
1563911121278943053,0.0,0.0,0.0,0.0
1563911121328953407,0.0,0.0,0.0,0.0
1563911121378918532,0.0,0.0,0.0,0.0
1563911121428946012,0.0,0.0,0.0,0.0
1563911121478973511,0.0,0.0,0.0,0.0
1563911121529052174,0.0,0.0,0.0,0.0
1563911121578909637,0.0,0.0,0.0,0.0
1563911121628958378,0.0,0.0,0.0,0.0
1563911121678959572,0.0,0.0,0.0,0.0
1563911121728961936,0.0,0.0,0.0,0.0
1563911121779028767,0.0,0.0,0.0,0.0
1563911121828913188,0.0,0.0,0.0,0.0
1563911121878944411,0.0,0.0,0.0,0.0
1563911121928940200,0.0,0.0,0.0,0.0
1563911121978947999,0.0,0.0,0.0,0.0
1563911122028945875,0.0,0.0,0.0,0.0
1563911122078976437,0.0,0.0,0.0,0.0
1563911122128925218,0.0,0.0,0.0,0.0
1563911122178921488,0.0,0.0,0.0,0.0
1563911122228960471,0.0,0.0,0.0,0.0
1563911122278938529,0.0,0.0,0.0,0.0
1563911122328966130,0.0,0.0,0.0,0.0
1563911122378907790,0.0,0.0,0.0,0.0
1563911122428942666,0.0,0.0,0.0,0.0
1563911122478913433,0.0,0.0,0.0,0.0
1563911122528969074,0.0,0.0,0.0,0.0
1563911122578925189,0.0,0.0,0.0,0.0
1563911122628952177,0.0,0.0,0.0,0.0
1563911122678943233,0.0,0.0,0.0,0.0
1563911122728967740,0.0,0.0,0.0,0.0
1563911122778928543,0.0,0.0,0.0,0.0
1563911122828933120,0.0,0.0,0.0,0.0
1563911122878970549,0.0,0.0,0.0,0.0
1563911122928967609,0.0,0.0,0.0,0.0
1563911122978948909,0.0,0.0,0.0,0.0
1563911123028902142,0.0,0.0,0.0,0.0
1563911123078938406,0.0,0.0,0.0,0.0
1563911123128949586,0.0,0.0,0.0,0.0
1563911123178947068,0.0,0.0,0.0,0.0
1563911123228933692,0.0,0.0,0.0,0.0
1563911123278947752,0.0,0.0,0.0,0.0
1563911123329031957,0.0,0.0,0.0,0.0
1563911123378966747,0.0,0.0,0.0,0.0
1563911123428952632,0.0,0.0,0.0,0.0
1563911123478976540,0.0,0.0,0.0,0.0
1563911123528931659,0.0,0.0,0.0,0.0
1563911123578972367,0.0,0.0,0.0,0.0
1563911123628943708,0.0,0.0,0.0,0.0
1563911123678954927,0.0,0.0,0.0,0.0
1563911123728946591,0.0,0.0,0.0,0.0
1563911123778955373,0.0,0.0,0.0,0.0
1563911123828951097,0.0,0.0,0.0,0.0
1563911123878941753,0.0,0.0,0.0,0.0
1563911123928932889,0.0,0.0,0.0,0.0
1563911123978956437,0.0,0.0,0.0,0.0
1563911124028967107,0.0,0.0,0.0,0.0
1563911124078939964,0.0,0.0,0.0,0.0
1563911124128922171,0.0,0.0,0.0,0.0
1563911124178974815,0.0,0.0,0.0,0.0
1563911124228936782,0.0,0.0,0.0,0.0
1563911124278921134,0.0,0.0,0.0,0.0
1563911124329044062,0.0,0.0,0.0,0.0
1563911124378933247,0.0,0.0,0.0,0.0
1563911124428954270,0.0,0.0,0.0,0.0
1563911124478941520,0.0,0.0,0.0,0.0
1563911124528958121,0.0,0.0,0.0,0.0
1563911124578963558,0.0,0.0,0.0,0.0
1563911124628941484,0.0,0.0,0.0,0.0
1563911124678971546,0.0,0.0,0.0,0.0
1563911124728895326,0.0,0.0,0.0,0.0
1563911124778960215,0.0,0.0,0.0,0.0
1563911124828945051,0.0,0.0,0.0,0.0
1563911124878940860,0.0,0.0,0.0,0.0
1563911124928963147,0.0,0.0,0.0,0.0
1563911124978932557,0.0,0.0,0.0,0.0
1563911125028954744,0.0,0.0,0.0,0.0
1563911125078964972,0.0,0.0,0.0,0.0
1563911125128964592,0.0,0.0,0.0,0.0
1563911125178933191,0.0,0.0,0.0,0.0
1563911125228988095,0.0,0.0,0.0,0.0
1563911125278965516,0.0,0.0,0.0,0.0
1563911125329008418,0.0,0.0,0.0,0.0
1563911125378883888,0.0,0.0,0.0,0.0
1563911125428936827,0.0,0.0,0.0,0.0
1563911125478964631,0.0,0.0,0.0,0.0
1563911125528970632,0.0,0.0,0.0,0.0
1563911125578941006,0.0,0.0,0.0,0.0
1563911125628978032,0.0,0.0,0.0,0.0
1563911125678961454,0.0,0.0,0.0,0.0
1563911125728900023,0.0,0.0,0.0,0.0
1563911125778936446,0.0,0.0,0.0,0.0
1563911125828938501,0.0,0.0,0.0,0.0
1563911125878968109,0.0,0.0,0.0,0.0
1563911125928952192,0.0,0.0,0.0,0.0
1563911125978952392,0.0,0.0,0.0,0.0
1563911126028965958,0.0,0.0,0.0,0.0
1563911126078977716,0.0,0.0,0.0,0.0
1563911126128952052,0.0,0.0,0.0,0.0
1563911126178909108,0.0,0.0,0.0,0.0
1563911126228915925,0.0,0.0,0.0,0.0
1563911126278945109,0.0,0.0,0.0,0.0
1563911126328989099,0.0,0.0,0.0,0.0
1563911126378851696,0.0,0.0,0.0,0.0
1563911126428922136,0.0,0.0,0.0,0.0
1563911126478956034,0.0,0.0,0.0,0.0
1563911126528968409,0.0,0.0,0.0,0.0
1563911126578951570,0.0,0.0,0.0,0.0
1563911126628974426,0.0,0.0,0.0,0.0
1563911126678951103,0.0,0.0,0.0,0.0
1563911126728944973,0.0,0.0,0.0,0.0
1563911126778908752,0.0,0.0,0.0,0.0
1563911126828906047,0.0,0.0,0.0,0.0
1563911126878933604,0.0,0.0,0.0,0.0
1563911126928969136,0.0,0.0,0.0,0.0
1563911126978952534,0.0,0.0,0.0,0.0
1563911127028985067,0.0,0.0,0.0,0.0
1563911127078953196,0.0,0.0,0.0,0.0
1563911127128941054,0.0,0.0,0.0,0.0
