timestamp,linear,x,y,z,angular,x,y,z
1563911116628915389,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911116678870292,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911116728930257,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911116778907116,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911116828917584,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911116878893129,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911116928891005,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911116978908736,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117028934630,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117078906901,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117128908424,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117178921068,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117228919779,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117278932273,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117328931485,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117378880591,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117428929199,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117478917977,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117528934914,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117578922007,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117628942220,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117678895724,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117728939317,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117778918270,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117828919899,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117878909998,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117928918300,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911117978910370,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118028903824,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118078935813,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118128924975,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118178946566,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118228922092,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118278943635,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118328966045,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118378939741,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118428904306,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118478927018,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118528932412,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118578918394,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118628907590,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118678891228,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118728937951,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118778942667,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118828932198,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118878915620,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118928889059,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911118978923931,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119028888596,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119078904804,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119128946251,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119178936428,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119228939218,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119278944699,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119328974277,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119378882779,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119428937535,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119478918041,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119528887909,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119578922189,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119628929630,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119678936608,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119728954947,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119778934508,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119828946372,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119878916723,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119928926773,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911119978941949,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120028933534,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120078918584,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120128929419,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120178947473,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120228898794,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120278899889,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120328983368,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120378897161,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120428915948,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120478923323,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120528872785,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120578918945,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120628925970,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120678909480,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120728954137,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120778935350,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120828910605,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120878913757,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120928916387,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911120978935677,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121028932708,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121078901862,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121128920051,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121178843877,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121228908468,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121278914230,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121328931047,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121378900494,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121428927034,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121478953443,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121529033013,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121578889766,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121628938724,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121678940795,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121728927067,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121778967366,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121828897091,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121878929170,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121928920952,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911121978927970,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122028928150,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122078952273,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122128906186,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122178901287,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122228941961,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122278921845,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122328941376,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122378889490,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122428918886,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122478896946,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122528949506,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122578909911,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122628932603,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122678926519,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122728950739,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122778910966,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122828915947,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122878947059,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122928946937,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911122978924265,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123028876336,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123078906021,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123128917628,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123178918277,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123228915893,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123278928955,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123329004517,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123378928074,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123428928843,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123478934880,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123528919857,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123578952386,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123628921035,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123678929051,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123728922469,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123778936694,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123828930499,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123878923193,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123928902420,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911123978937470,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124028948660,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124078921510,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124128901400,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124178931990,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124228918365,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124278902520,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124328996468,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124378913733,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124428935329,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124478910159,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124528938487,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124578937584,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124628919231,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124678949813,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124728880845,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124778939733,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124828926000,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124878917373,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124928942819,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911124978910885,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125028935856,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125078945527,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125128914677,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125178915879,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125228938104,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125278945702,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125328969500,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125378867153,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125428913805,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125478936748,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125528923160,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125578920515,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125628940271,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125678943180,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125728885443,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125778919214,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125828916211,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125878931441,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125928933114,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911125978933291,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126028930346,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126078960063,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126128933705,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126178895082,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126228899515,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126278893831,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126328955750,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126378836113,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126428904895,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126478934736,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126528949505,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126578931504,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126628942878,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126678935944,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126728925912,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126778893341,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126828889741,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126878914954,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126928940155,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911126978930411,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127028939412,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127078928413,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127128921327,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127178930492,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127228895634,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127278903380,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127328881326,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127378902292,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127428877804,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127478924953,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127528911465,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127578934914,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127628950145,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127678866425,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127728916842,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127778938802,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127828906579,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127878881105,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127928917403,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911127978943850,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128028933572,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128078944018,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128128925814,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128178940083,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128228884448,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128278941853,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128328960235,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128378895784,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128428906622,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128478946744,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128528910665,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128578934251,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128628933944,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128678938655,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128728891185,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128778929264,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128828920104,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128878931550,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128928938640,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911128978919334,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129028941785,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129078924239,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129128934423,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129178933773,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129228926334,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129278932326,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129328906721,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129378874291,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129428931826,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129478948287,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129528909196,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129578963424,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129628933552,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129678941715,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129728911486,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129778935643,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129828906112,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129878942937,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129928921425,,0.0,0.0,0.0,,0.0,0.0,0.0
1563911129978915242,,0.0,0.0,0.0,,0.0,0.0,0.0
