timestamp,data
1613700012796114455,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613700055999163752,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613697815053618193,"""toggle backdoor"""
1613697877703398909,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697881965512660,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613697887336384910,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697890297206911,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613697892813880744,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698007795569883,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698015052464176,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613698020301566426,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613697887928244994,"""toggle backdoor"""
1613697892657179453,"""toggle backdoor"""
1613697910998335747,"""toggle backdoor"""
1613697916680037831,"""print whitelist"""
1613698110235383562,"""cowsay"""
1613698200640990489,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698211914349824,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698241352204411,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698247728542662,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698252934245121,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698289968602125,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698348484744465,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_ACTIVE"""
1613697890473770244,"""toggle backdoor"""
1613697909353511830,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613697913832852497,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613697921333264789,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
