timestamp,data
1587847968854774433,"""474.49453795"""
1587847968856672600,"""954.714289546"""
1587847969090088933,"""467.626406491"""
1587847969093965850,"""903.065940976"""
1587847969126688225,"""{\""pressure\"": 467.62640649080276, \""voltage\"": 0.9178022503852844}"""
1587847969135592308,"""{\""pressure\"": 903.0659409761429, \""voltage\"": 1.6145055055618287}"""
1587847969350409100,"""478.065966308"""
1587847969351240642,"""889.329678059"""
1587847969611163767,"""469.000032783"""
1587847969615213600,"""918.175830185"""
1587847969837176975,"""481.912119925"""
1587847969842375850,"""899.494512618"""
1587847970092439225,"""479.714317858"""
1587847970140317309,"""{\""pressure\"": 479.71431785821915, \""voltage\"": 0.9371429085731506}"""
1587847970144486100,"""963.230772555"""
1587847970145550142,"""{\""pressure\"": 963.2307725548744, \""voltage\"": 1.710769236087799}"""
1587847970323000017,"""469.000032783"""
1587847970374084392,"""902.791215718"""
1587847970633675725,"""467.626406491"""
1587847970653478142,"""897.571435809"""
1587847970831135225,"""469.000032783"""
1587847970852181142,"""888.505502284"""
1587847971068330059,"""469.824208558"""
1587847971086353475,"""890.978029609"""
1587847971120539600,"""{\""pressure\"": 469.82420855760574, \""voltage\"": 0.9213187336921692}"""
1587847971141744975,"""{\""pressure\"": 890.9780296087265, \""voltage\"": 1.5951648473739624}"""
1587847971318842809,"""478.340691566"""
1587847971340416434,"""886.857150733"""
1587847971613369184,"""469.000032783"""
1587847971641760642,"""908.560446143"""
1587847971821488892,"""474.769263208"""
1587847971845141975,"""903.340666234"""
1587847972066663142,"""469.824208558"""
1587847972085190892,"""887.681326509"""
1587847972120356184,"""{\""pressure\"": 469.82420855760574, \""voltage\"": 0.9213187336921692}"""
1587847972134729267,"""{\""pressure\"": 887.681326508522, \""voltage\"": 1.5898901224136353}"""
1587847972319530975,"""484.109921992"""
1587847972336914392,"""884.934073925"""
1587847972568187934,"""481.637394667"""
1587847972606625684,"""885.7582497"""
1587847972817143517,"""472.022010624"""
1587847972835757434,"""884.659348667"""
