timestamp,header,seq,stamp,secs,nsecs,frame_id,unit,voltage,reading
1613697725718518891,,1,,1613697725,716094970,'','',0.00659340666607,0.0
1613697725968283183,,2,,1613697725,966737031,'','',0.00747252767906,0.0
1613697726218237474,,3,,1613697726,216386079,'','',0.00791208818555,0.0
1613697726468617266,,4,,1613697726,466273069,'','',0.00835164822638,0.0
1613697726719475350,,5,,1613697726,716101884,'','',0.00747252767906,0.0
1613697726968055308,,6,,1613697726,966290950,'','',0.00923076923937,0.0
1613697727218041933,,7,,1613697727,216113090,'','',0.00571428565308,0.0
1613697727468299350,,8,,1613697727,466631889,'','',0.00439560459927,0.0
1613697727719138350,,9,,1613697727,716319084,'','',0.0105494502932,0.0
1613697727969171141,,10,,1613697727,966486930,'','',0.00571428565308,0.0
1613697728218349183,,11,,1613697728,216151952,'','',0.00571428565308,0.0
1613697728467874433,,12,,1613697728,466259002,'','',0.00747252767906,0.0
1613697728718377475,,13,,1613697728,716254949,'','',0.00879120919853,0.0
1613697728968160391,,14,,1613697728,966303110,'','',0.0101098902524,0.0
1613697729223657558,,15,,1613697729,221951007,'','',0.00615384615958,0.0
1613697729467737600,,16,,1613697729,466218948,'','',0.00659340666607,0.0
1613697729717972100,,17,,1613697729,716142892,'','',0.0101098902524,0.0
1613697729968395350,,18,,1613697729,966593027,'','',0.00703296763822,0.0
1613697730222435767,,19,,1613697730,220160961,'','',0.0149450553581,0.0
1613697730469436767,,20,,1613697730,467652082,'','',0.00615384615958,0.0
1613697730720335933,,21,,1613697730,718432903,'','',0.00703296763822,0.0
1613697730969322017,,22,,1613697730,967051982,'','',0.00659340666607,0.0
1613697731221231892,,23,,1613697731,218609094,'','',0.00747252767906,0.0
1613697731468410267,,24,,1613697731,466429948,'','',0.0118681322783,0.0
1613697731720802767,,25,,1613697731,718939065,'','',0.00791208818555,0.0
1613697731970091809,,26,,1613697731,967654943,'','',0.00615384615958,0.0
1613697732218641809,,27,,1613697732,216695070,'','',0.00571428565308,0.0
1613697732471540684,,28,,1613697732,469630002,'','',0.00439560459927,0.0
1613697732717944850,,29,,1613697732,716116905,'','',0.00879120919853,0.0
1613697732968148642,,30,,1613697732,966171979,'','',0.00615384615958,0.0
1613697733221969350,,31,,1613697733,219752073,'','',0.0026373625733,0.0
1613697733468721142,,32,,1613697733,466387033,'','',0.00659340666607,0.0
1613697733726130392,,33,,1613697733,722654104,'','',0.00835164822638,0.0
1613697733978278600,,34,,1613697733,976443052,'','',0.00703296763822,0.0
1613697734220469642,,35,,1613697734,218765020,'','',0.00835164822638,0.0
1613697734469409225,,36,,1613697734,467166900,'','',0.00923076923937,0.0
1613697734718607726,,37,,1613697734,716095924,'','',0.00659340666607,0.0
1613697734969048559,,38,,1613697734,967235088,'','',0.00659340666607,0.0
1613697735225992101,,39,,1613697735,219542980,'','',0.0114285713062,0.0
1613697735469192726,,40,,1613697735,466540098,'','',0.00615384615958,0.0
