timestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1582234197076125727,,19394,,1582234197,70163011,'',2,"""/tcp_server""","""1 active connection(s)""","""tcp_server.py""","""handle_connections""",118,"[/los, /rosout, /requested_commands]"
1582234197362612049,,19395,,1582234197,359014987,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1540.48352051, 1494.95736938 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234197828254321,,19396,,1582234197,820089101,'',2,"""/tcp_server""","""Connection with atleast one client restored.""","""tcp_server.py""","""publish_los""",156,"[/los, /rosout, /requested_commands]"
1582234200711386552,,19397,,1582234200,703870058,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
1582234203365515186,,19398,,1582234203,358128070,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1530.98901367, 1494.98031396 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234206717748633,,19399,,1582234206,709309101,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
1582234208803444499,,19400,,1582234208,797430038,'',2,"""/tcp_server""","""Command from #114: rosnode list""","""tcp_server.py""","""clientthread""",104,"[/los, /rosout, /requested_commands]"
1582234208867927659,,19401,,1582234208,863957881,'',1,"""/readiness_admin""","""Command matches current pattern: .*, rosnode list""","""readiness_admin.py""","""get_requested_command""",68,"[/commands, /readiness_level, /rosout, /requested_commands]"
1582234209372653109,,19402,,1582234209,367666006,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1533.3626709, 1495.39648975 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234209759800888,,19403,,1582234209,735503911,'',2,"""/rosnode_lister""","""\n/exec\n/hardware/driver_dispatcher\n/hardware/ematch\n/hardware/ignition_valve\n\","""rosnode_lister.py""","""get_command""",15,"[/commands, /rosout]"
1582234211137048657,,19404,,1582234211,131998062,'',2,"""/tcp_server""","""Command from #114: rostopic list""","""tcp_server.py""","""clientthread""",104,"[/los, /rosout, /requested_commands]"
1582234211194929148,,19405,,1582234211,179801940,'',1,"""/readiness_admin""","""Command matches current pattern: .*, rostopic list""","""readiness_admin.py""","""get_requested_command""",68,"[/commands, /readiness_level, /rosout, /requested_commands]"
1582234211457616229,,19406,,1582234211,439753055,'',2,"""/rosnode_lister""","""\n/commands                                                   std_msgs/String\n/hardware/ematch/command\","""rosnode_lister.py""","""get_command""",21,"[/commands, /rosout]"
1582234213681173713,,19407,,1582234213,677519083,'',2,"""/tcp_server""","""Command from #114: system fortune | cowsay""","""tcp_server.py""","""clientthread""",104,"[/los, /rosout, /requested_commands]"
1582234213737221848,,19408,,1582234213,733422994,'',1,"""/readiness_admin""","""Command matches current pattern: .*, system fortune | cowsay""","""readiness_admin.py""","""get_requested_command""",68,"[/commands, /readiness_level, /rosout, /requested_commands]"
1582234213822221770,,19409,,1582234213,806471109,'',2,"""/exec""","""$ fortune | cowsay""","""exec.py""","""get_command""",41,"[/commands, /rosout]"
