timestamp,data,secs,nsecs
1582136146755924320,,231600,161062748
1582136147755863018,,231601,160929409
1582136148756783035,,231602,161546568
1582136149755133991,,231603,160330874
1582136150756310160,,231604,161510043
1582136151756219819,,231605,161421077
1582136152756146101,,231606,161185035
1582136153755459211,,231607,160598556
1582136154755303998,,231608,160503631
1582136155755999487,,231609,160993924
1582136156755996808,,231610,161200899
1582136157756319527,,231611,161283257
1582136158756426924,,231612,161354156
1582136159755514256,,231613,160518400
1582136160756231785,,231614,161434252
1582136161755855420,,231615,161013763
1582136162756178722,,231616,161048333
1582136163755314509,,231617,160513684
1582136164756039539,,231618,161104680
1582136165755992488,,231619,161042088
1582136166755573709,,231620,160753551
1582136167755835265,,231621,161011983
1582136168756173859,,231622,161377992
1582136169756438499,,231623,161409770
1582136170755663157,,231624,160314113
1582136171755331289,,231625,160382056
1582136172755320778,,231626,160493247
1582136173756167052,,231627,161341937
1582136174755614406,,231628,160811997
1582136175756751580,,231629,161837511
1582136176756133479,,231630,161212703
1582136177755101236,,231631,160339075
1582136178755185095,,231632,160438058
1582136179756130114,,231633,161207129
1582136180755650297,,231634,160671440
1582136181756190089,,231635,161393055
1582136182755234550,,231636,160432558
1582136183755358782,,231637,160300305
1582136184755216864,,231638,160410664
1582136185755619872,,231639,160759217
1582136186755505619,,231640,160464141
1582136187755377199,,231641,160304265
1582136188756356800,,231642,161549934
1582136189755912566,,231643,161065743
1582136190756001009,,231644,160959698
1582136191755678768,,231645,160437760
1582136192755773086,,231646,160286009
1582136193755451887,,231647,160614314
1582136194756085300,,231648,161284350
1582136195755815264,,231649,161012439
1582136196756074574,,231650,161253625
1582136197756248263,,231651,161443355
1582136198756340249,,231652,161540549
1582136199756821004,,231653,161364841
1582136200756040623,,231654,161223132
1582136201755858375,,231655,161031510
1582136202756421626,,231656,161296527
1582136203755227977,,231657,160419736
1582136204756194455,,231658,161393380
1582136205756308190,,231659,161505198
1582136206755528393,,231660,160662113
1582136207756262551,,231661,161419729
1582136208755797320,,231662,160378447
1582136209756154500,,231663,161379548
1582136210755318290,,231664,160429386
1582136211756088779,,231665,161289871
1582136212756915766,,231666,161805625
1582136213756333000,,231667,161530592
1582136214755170476,,231668,160373275
1582136215755754768,,231669,160922695
1582136216756419889,,231670,161101052
1582136217757592315,,231671,161915665
1582136218755258774,,231672,160426576
1582136219755359428,,231673,160541937
1582136220756412236,,231674,161607869
1582136221756224073,,231675,161409790
1582136222756889361,,231676,161544942
1582136223756024071,,231677,161215621
1582136224755745038,,231678,160938588
1582136225756220129,,231679,161417971
1582136226755286551,,231680,160483226
1582136227755223465,,231681,160401641
1582136228755991498,,231682,161050472
1582136229756239561,,231683,161438819
1582136230756667655,,231684,161497434
1582136231755474342,,231685,160476612
1582136232755434672,,231686,160394610
1582136233756714676,,231687,161387256
1582136234755731393,,231688,160927360
1582136235755945958,,231689,161004391
1582136236756760989,,231690,161824838
1582136237756186766,,231691,161385024
1582136238756144971,,231692,161342813
1582136239756604731,,231693,161186900
1582136240755209972,,231694,160254948
1582136241756384275,,231695,161424084
1582136242755389160,,231696,160268395
1582136243755495774,,231697,160557331
1582136244755835041,,231698,161075380
1582136245755539844,,231699,160714521
1582136246755765201,,231700,160782303
1582136247755677410,,231701,160800631
1582136248755557704,,231702,160741671
1582136249755153806,,231703,160319524
1582136250756397563,,231704,161570281
1582136251756186862,,231705,161143593
1582136252756221356,,231706,161109757
1582136253755195702,,231707,160389794
1582136254755787330,,231708,160676106
1582136255756398916,,231709,161217738
1582136256755460466,,231710,160662599
1582136257756080468,,231711,161261061
1582136258756061715,,231712,161263306
1582136259756726632,,231713,161564035
1582136260755890217,,231714,161088434
1582136261756873491,,231715,161209173
1582136262755951206,,231716,160826483
1582136263757872676,,231717,160728360
1582136264755732545,,231718,160895680
1582136265756348506,,231719,161545431
1582136266756281257,,231720,161516346
1582136267755313434,,231721,160387075
1582136268755796570,,231722,161031534
1582136269755153270,,231723,160349279
1582136270757052742,,231724,161966433
1582136271755736023,,231725,160936114
1582136272756601720,,231726,161711275
1582136273756286361,,231727,161487535
1582136274755960085,,231728,161165384
1582136275755789925,,231729,160962977
1582136276755217372,,231730,160260639
1582136277755655095,,231731,160327716
1582136278756425256,,231732,161601641
1582136279755518389,,231733,160321587
1582136280756444042,,231734,161499059
1582136281755993566,,231735,160448617
1582136282755854614,,231736,161036956
1582136283755312768,,231737,160516567
1582136284756333457,,231738,161536507
1582136285756074928,,231739,161253354
1582136286756030346,,231740,161182898
1582136287755278054,,231741,160473479
1582136288756082464,,231742,161282598
1582136289756086463,,231743,161104440
1582136290755737273,,231744,160792664
1582136291755163887,,231745,160367812
1582136292756151955,,231746,161352379
1582136293756036585,,231747,161266841
1582136294755086888,,231748,160229858
1582136295755748391,,231749,160925358
1582136296755909172,,231750,161101306
1582136297755257833,,231751,160257270
1582136298755342119,,231752,160542086
1582136299755818716,,231753,161015391
1582136300756314895,,231754,161512820
1582136301756244774,,231755,161440157
1582136302755770717,,231756,160390091
1582136303756256438,,231757,161171546
1582136304756069407,,231758,161265040
1582136305756058949,,231759,161244666
1582136306756313809,,231760,161340202
1582136307755503897,,231761,160249722
1582136308756041741,,231762,161238666
1582136309756149526,,231763,161072508
1582136310755262077,,231764,160314135
1582136311755660679,,231765,160563371
1582136312755952621,,231766,161126505
1582136313756292601,,231767,161491568
1582136314755622473,,231768,160812565
1582136315755858585,,231769,161097133
1582136316756043033,,231770,161284706
1582136317755767341,,231771,160438088
1582136318756666665,,231772,161429448
1582136319755860462,,231773,161055179
1582136320756292063,,231774,161488988
1582136321755471277,,231775,160670077
1582136322756100450,,231776,161261919
1582136323756126533,,231777,161059973
1582136324755069511,,231778,160228813
1582136325756107286,,231779,161315085
1582136326756081122,,231780,161286005
1582136327756755751,,231781,161772186
1582136328756413772,,231782,161305423
1582136329755609778,,231783,160447931
1582136330756655427,,231784,161805355
1582136331755311631,,231785,160458017
1582136332755284217,,231786,160406021
1582136333755869102,,231787,161061527
1582136334756211542,,231788,161373302
1582136335755190561,,231789,160300741
1582136336755756488,,231790,160949913
1582136337755184731,,231791,160384323
1582136338755049782,,231792,160247832
1582136339755624502,,231793,160827010
1582136340755166488,,231794,160338414
1582136341755461307,,231795,160492866
1582136342755320775,,231796,160514159
1582136343756367634,,231797,161475148
1582136344756272017,,231798,161468234
1582136345755472023,,231799,160582912
1582136346755982163,,231800,160935894
1582136347755755429,,231801,160992143
1582136348756451975,,231802,161634442
1582136349756000712,,231803,161195303
1582136350755972424,,231804,161129726
1582136351755850976,,231805,160587427
1582136352755053899,,231806,160242033
1582136353755240183,,231807,160406901
1582136354756213755,,231808,161218358
1582136355755101322,,231809,160296789
1582136356755797743,,231810,160289375
1582136357755978403,,231811,160982089
1582136358756304137,,231812,160939720
1582136359756250769,,231813,161440694
1582136360755655514,,231814,160848273
1582136361755792177,,231815,161032808
1582136362756062165,,231816,161261215
1582136363756271615,,231817,161470206
1582136364755826394,,231818,161027235
1582136365755611951,,231819,160752421
1582136366755754739,,231820,160959830
1582136367755523256,,231821,160729638
1582136368755297647,,231822,160261461
1582136369755594634,,231823,160510950
1582136370755686508,,231824,160861684
1582136371756571878,,231825,161517317
1582136372756315605,,231826,161514072
1582136373755271086,,231827,160472510
1582136374755710690,,231828,160915906
1582136375755100104,,231829,160301612
1582136376756161923,,231830,161089988
1582136377755326808,,231831,160234333
1582136378756350171,,231832,161392188
1582136379756222724,,231833,161424066
1582136380756087278,,231834,161281120
1582136381755799091,,231835,160985683
1582136382756147076,,231836,160446094
1582136383755071017,,231837,160264901
1582136384756187625,,231838,161152855
1582136385756559317,,231839,161671580
1582136386755408055,,231840,160569523
1582136387755809370,,231841,161006837
1582136388756225226,,231842,161469190
1582136389755192957,,231843,160419422
1582136390756225278,,231844,161408787
1582136391756150413,,231845,161346213
1582136392755289967,,231846,160464310
1582136393755366135,,231847,160546644
1582136394756083016,,231848,161288524
1582136395755997902,,231849,161162412
1582136396756193438,,231850,161387071
1582136397755728095,,231851,160922770
1582136398755370080,,231852,160570379
1582136399755298173,,231853,160485182
1582136400755969307,,231854,160442357
1582136401755854611,,231855,161043870
1582136402755320231,,231856,160524739
1582136403755381442,,231857,160346838
1582136404755647683,,231858,160841608
1582136405755293001,,231859,160490301
1582136406755376794,,231860,160336941
1582136407757374936,,231861,161310391
1582136408755182609,,231862,160370701
1582136409755933447,,231863,161138622
1582136410756323723,,231864,161564104
1582136411755856465,,231865,161033141
1582136412756150829,,231866,161354046
1582136413755090438,,231867,160274114
1582136414755957062,,231868,161161278
1582136415756029898,,231869,161088206
1582136416756604080,,231870,161202831
1582136417756134281,,231871,161342038
1582136418755837679,,231872,161038104
1582136419756012093,,231873,161027112
1582136420755363221,,231874,160312285
1582136421756234386,,231875,161300360
1582136422756195979,,231876,161246370
1582136423755182377,,231877,160373344
1582136424755279421,,231878,160483887
1582136425755823897,,231879,160506143
1582136426755553295,,231880,160304203
1582136427755790080,,231881,160501700
1582136428755916122,,231882,161079341
1582136429755503278,,231883,160695870
1582136430756009423,,231884,161201474
1582136431756633479,,231885,161373472
1582136432755501343,,231886,160717017
1582136433755324069,,231887,160529702
1582136434756590379,,231888,161465698
1582136435756188077,,231889,161376627
1582136436756115672,,231890,161312389
1582136437755988979,,231891,161147115
1582136438756639575,,231892,161504061
1582136439755877127,,231893,160825566
1582136440756290195,,231894,161291464
1582136441755964596,,231895,161185103
1582136442755380930,,231896,160449862
1582136443757349492,,231897,162335887
1582136444755425694,,231898,160479335
1582136445756353816,,231899,161374417
1582136446755307926,,231900,160299737
1582136447755457842,,231901,160518900
1582136448756682989,,231902,161600263
1582136449755200124,,231903,160392299
1582136450756384773,,231904,161350003
1582136451755152394,,231905,160333112
1582136452755194151,,231906,160387701
1582136453755818124,,231907,160690734
1582136454755099424,,231908,160300557
1582136455756288490,,231909,161489915
1582136456755811943,,231910,160867709
1582136457757000592,,231911,161940115
1582136458756248478,,231912,161452277
1582136459755919172,,231913,160969939
1582136460755076605,,231914,160274905
1582136461755687371,,231915,160592812
1582136462755153827,,231916,160326129
1582136463755322035,,231917,160527501
1582136464755827016,,231918,161018649
1582136465756126217,,231919,161318475
1582136466755120909,,231920,160315209
1582136467755343905,,231921,160408380
1582136468755122761,,231922,160332769
1582136469756180710,,231923,161381385
1582136470755897028,,231924,161096286
1582136471755126123,,231925,160362171
1582136472755382369,,231926,160397887
1582136473755953054,,231927,160995821
1582136474756880094,,231928,161675792
1582136475755151870,,231929,160344212
1582136476756245359,,231930,161296543
1582136477755961636,,231931,160976279
1582136478756740559,,231932,161180278
1582136479755087164,,231933,160262924
1582136480755259165,,231934,160464672
1582136481755821226,,231935,161020193
1582136482756163925,,231936,161364767
1582136483755919616,,231937,161124624
1582136484756175904,,231938,161380120
1582136485755335129,,231939,160526304
1582136486756095804,,231940,161289980
1582136487755122662,,231941,160303838
1582136488756684709,,231942,161561277
1582136489756125376,,231943,161364007
1582136490756210716,,231944,161024079
1582136491756084359,,231945,161279950
1582136492755226502,,231946,160411219
1582136493756615475,,231947,161550790
1582136494756367375,,231948,161564884
1582136495755221952,,231949,160380129
1582136496755976920,,231950,161110765
1582136497755317302,,231951,160462813
1582136498756923180,,231952,161478475
1582136499756266645,,231953,161469903
1582136500756940451,,231954,161964344
1582136501755479171,,231955,160508522
1582136502755483682,,231956,160504409
1582136503756146780,,231957,161274043
1582136504755581241,,231958,160747584
1582136505756073349,,231959,161267899
1582136506756998766,,231960,161025008
1582136507755093512,,231961,160293103
1582136508756277039,,231962,161476089
1582136509755843284,,231963,160906508
1582136510755294619,,231964,160486836
1582136511755303588,,231965,160502680
1582136512756222839,,231966,161424264
1582136513755648217,,231967,160843851
1582136514758058675,,231968,163246892
1582136515756005638,,231969,161197605
1582136516755521719,,231970,160683271
1582136517755183584,,231971,160312846
1582136518756358904,,231972,161513956
1582136519755666455,,231973,160813467
1582136520756199479,,231974,161151793
1582136521755217131,,231975,160406431
1582136522756157589,,231976,161112153
1582136523756041150,,231977,161247533
1582136524755987957,,231978,161186215
1582136525757205608,,231979,161662325
1582136526756458372,,231980,161413186
1582136527756649790,,231981,161746679
1582136528756124666,,231982,161287760
1582136529755496756,,231983,160607186
1582136530756350012,,231984,161546395
